 cramer_stats cramer_pval cramer_result smirnov gelman naive_dim1 naive_dim2
 1.000000000 13.963922406  0.230128775  0.000000000  0.000999001  1.010987055  0.094357082  0.159515495
 2.000000000 11.104163932  0.254343925  0.000000000  0.079920080  1.035194272  0.086827424  0.141314901
 3.000000000 10.818620003  0.269151152  0.000000000  0.184815185  1.009566334  0.063091533  0.110598534
 4.000000000 10.047773195  0.255374287  0.000000000  0.599400599  1.000042501  0.067950709  0.114527502
 5.000000000 10.062008729  0.255331710  0.000000000  0.449550450  1.004003474  0.056071153  0.094541702
 6.000000000  9.177509252  0.253877944  0.000000000  0.906093906  1.005803464  0.051593330  0.097405120
 7.000000000  8.957785610  0.260021238  0.000000000  0.625374625  1.001171801  0.047855768  0.078117636
 8.000000000  8.665806503  0.253305184  0.000000000  0.603396603  1.000124881  0.049806922  0.089001528
 9.000000000  8.386024549  0.266245910  0.000000000  0.181818182  0.999807489  0.045336392  0.086981552
10.000000000  7.552515931  0.265336017  0.000000000  0.419580420  1.000452157  0.043512244  0.081051412
11.000000000  7.676626393  0.262087782  0.000000000  0.925074925  1.000031566  0.045381426  0.077188586
12.000000000  7.417140417  0.260834993  0.000000000  0.739260739  1.000843078  0.042219749  0.077512852
13.000000000  7.348541577  0.266658294  0.000000000  0.572427572  1.000109770  0.038704912  0.079099162
14.000000000  6.995585561  0.265979505  0.000000000  0.311688312  0.999845050  0.038358067  0.072397606
15.000000000  6.624811979  0.268183444  0.000000000  0.857142857  0.999923062  0.036646647  0.071984788
16.000000000  6.326766605  0.264749668  0.000000000  0.747252747  1.000862879  0.034871197  0.071471934
17.000000000  6.344880376  0.265289278  0.000000000  0.561438561  1.001038117  0.032636465  0.062987532
18.000000000  5.964722970  0.276975706  0.000000000  0.620379620  1.001551334  0.033056992  0.057765526
19.000000000  5.813204110  0.279952318  0.000000000  0.542457542  1.002358761  0.034007710  0.054008715
20.000000000  5.882418547  0.262963891  0.000000000  0.156843157  1.002255585  0.029974934  0.054790077
21.000000000  5.817780194  0.268924221  0.000000000  0.894105894  1.003534047  0.029330198  0.059184528
22.000000000  5.319473686  0.279320218  0.000000000  0.664335664  1.002926464  0.029541748  0.051040070
23.000000000  5.580503146  0.262118550  0.000000000  0.138861139  1.003509943  0.030959247  0.049493889
24.000000000  5.137178630  0.289939786  0.000000000  0.065934066  1.005614483  0.028497460  0.058747840
25.000000000  5.461068786  0.267134360  0.000000000  0.368631369  1.005401155  0.026671600  0.055145591
26.000000000  5.191880377  0.275577988  0.000000000  0.678321678  1.003828526  0.027912824  0.052701134
27.000000000  5.275940964  0.265515644  0.000000000  0.265734266  1.002992681  0.026215563  0.047548184
28.000000000  4.906094192  0.281067411  0.000000000  0.876123876  1.002437337  0.026588577  0.043922053
29.000000000  5.003561763  0.263150421  0.000000000  0.723276723  1.002216171  0.026036777  0.049879088
30.000000000  4.825137533  0.272794095  0.000000000  0.435564436  1.002839762  0.023555681  0.043820945
31.000000000  4.729010127  0.286105510  0.000000000  0.442557443  1.003764500  0.024983830  0.047008277
32.000000000  4.676454532  0.272983592  0.000000000  0.922077922  1.003167229  0.023367125  0.041082126
33.000000000  4.673298866  0.272964822  0.000000000  0.517482517  1.002668477  0.024149468  0.041722311
34.000000000  4.524554338  0.281602871  0.000000000  0.932067932  1.002845061  0.024435363  0.044194157
35.000000000  4.564870128  0.268698681  0.000000000  0.446553447  1.002582504  0.021391005  0.041514653
36.000000000  4.306130947  0.282085635  0.000000000  0.512487512  1.002214303  0.021984531  0.038071912
37.000000000  4.322808568  0.272492082  0.000000000  0.493506494  1.001794263  0.020020730  0.040283193
38.000000000  4.122907660  0.288606300  0.000000000  0.604395604  1.001920307  0.020978564  0.040862635
39.000000000  4.284616923  0.279768876  0.000000000  0.811188811  1.002413975  0.021605448  0.034997930
40.000000000  4.292713051  0.265959450  0.000000000  0.857142857  1.002454701  0.021610977  0.039468910
41.000000000  4.135571860  0.280233340  0.000000000  0.481518482  1.002282729  0.022102840  0.037806211
42.000000000  3.996423274  0.285194990  0.000000000  0.321678322  1.002391485  0.019460120  0.034470428
43.000000000  4.098564284  0.275327850  0.000000000  0.366633367  1.001892397  0.020590952  0.034629870
44.000000000  3.862144548  0.292554129  0.000000000  0.243756244  1.001541519  0.019615529  0.036285075
45.000000000  3.893082043  0.290115007  0.000000000  0.308691309  1.001290515  0.020068649  0.036472299
46.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
47.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
48.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
49.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
